曜,限,学期,年,クラス,科目名,担当者,講義コード,教室,受講対象/再履修者科目名,備考
月,1,前期前半,2,,日本の政治(a),薦田 宏俊,yaa006501,32H,対象[24-20],
月,1,前期前半,2,,プログラミング応用演習,髙橋 弘毅,yaa811102,21A,対象[24-23],対開講(月1、月2)
月,1,前期後半,1,,環境問題と社会,佐藤 秀樹,yab091101,22G,対象[25-23],対開講(月1、月2)
月,1,前期後半,2,,日本の政治(b),薦田 宏俊,yab006501,32H,対象[24-20],
月,1,前期後半,2,,統計学基礎,山口 敦子,yab811102,33K,対象[24-23],対開講(月1、月2)
月,1,前期後半,3,,ニューラルネットワーク,髙橋 弘毅,yab811101,31B,対象[23-23],対開講(月1、月2)
月,2,前期前半,2,,プログラミング応用演習,髙橋 弘毅,yaa811102,21A,対象[24-23],対開講(月1、月2)
月,2,前期後半,1,,環境問題と社会,佐藤 秀樹,yab091101,22G,対象[25-23],対開講(月1、月2)
月,2,前期後半,2,,統計学基礎,山口 敦子,yab811102,33K,対象[24-23],対開講(月1、月2)
月,2,前期後半,3,,ニューラルネットワーク,髙橋 弘毅,yab811101,31B,対象[23-23],対開講(月1、月2)
月,3,前期前半,3,,Global Studies(3),永盛 祐介、蓮池 公威,yab811401,32G,対象[23-23],対開講(月3、月4)
月,3,前期後半,2,,Japan Studies,ストーン リチャード,yab811302,32J,対象[24-23],対開講(月3、月4)
月,3,前期後半,3,,Global Studies(2),佐藤 圭浩、小川 祐樹、山口 敦子、河合 孝純、髙橋 弘毅,yab811301,32D,対象[23-23],対開講(月3、月4)
月,4,前期前半,1,,SD PBL (1),佐藤 圭浩、髙橋 弘毅,yaa811402,33I,対象[25-23],
月,4,前期前半,3,,Global Studies(3),永盛 祐介、蓮池 公威,yab811401,32G,対象[23-23],対開講(月3、月4)
月,4,前期後半,2,,Japan Studies,ストーン リチャード,yab811302,32J,対象[24-23],対開講(月3、月4)
